HCC1187 BL	CRL-2323		atcc	CellLine
HCC1395	CRL-2324		atcc	CellLine
HCC1395 BL	CRL-2325		atcc	CellLine
HCC1419	CRL-2326		atcc	CellLine
HCC1428	CRL-2327		atcc	CellLine
HCC1428 BL	CRL-2328		atcc	CellLine
HCC1500	CRL-2329		atcc	CellLine
HCC1569	CRL-2330		atcc	CellLine
HCC1599	CRL-2331		atcc	CellLine
HCC1599 BL	CRL-2332		atcc	CellLine
HCC1739 BL	CRL-2334		atcc	CellLine
HCC1806	CRL-2335		atcc	CellLine
HCC1937	CRL-2336		atcc	CellLine
HCC1937 BL	CRL-2337		atcc	CellLine
HCC1954	CRL-2338		atcc	CellLine
HCC1954 BL	CRL-2339		atcc	CellLine
HCC202	CRL-2316		atcc	CellLine
HCC2157	CRL-2340		atcc	CellLine
HCC2157 BL	CRL-2341		atcc	CellLine
HCC2218	CRL-2343		atcc	CellLine
HCC2218 BL	CRL-2363		atcc	CellLine
HCC2935	CRL-2869		atcc	CellLine
HCC38	CRL-2314		atcc	CellLine
HCC38 BL	CRL-2346		atcc	CellLine
HCC4006	CRL-2871		atcc	CellLine
HCC70	CRL-2315		atcc	CellLine
HCC827	CRL-2868		atcc	CellLine
HCE-2	CRL-11135		atcc	CellLine
HCN-2	CRL-10742		atcc	CellLine
HCT 116	CCL-247		atcc	CellLine
HCT-15	CCL-225		atcc	CellLine
HCT-8	CCL-244		atcc	CellLine
He We	CRL-1338		atcc	CellLine
HEC-1-A	HTB-112		atcc	CellLine
HEC-1-B	HTB-113		atcc	CellLine
HEK 293 STF	CRL-3249		atcc	CellLine
HEK-293.2sus	CRL-1573.3		atcc	CellLine
HEK001	CRL-2404		atcc	CellLine
HEK293S GnTI-	CRL-3022		atcc	CellLine
HEL 299	CCL-137		atcc	CellLine
HEL 92.1.7	TIB-180		atcc	CellLine
HeLa	CCL-2		atcc	CellLine
HeLa 229	CCL-2.1		atcc	CellLine
HeLa	CCL-13		atcc	CellLine
HeLa NR1	CRL-13011		atcc	CellLine
HeLa S3	CCL-2.2		atcc	CellLine
HeLaRC32	CRL-2972		atcc	CellLine
Hep 3B2.1-7	HB-8064		atcc	CellLine
Hep G2	HB-8065		atcc	CellLine
HEP G2/2.2.1	CRL-11997		atcc	CellLine
HEp-2	CCL-23		atcc	CellLine
HEPM	CRL-1486		atcc	CellLine
Het-1A	CRL-2692		atcc	CellLine
HEY-T30	CRL-3252		atcc	CellLine
HFL1	CCL-153		atcc	CellLine
hFOB 1.19	CRL-11372		atcc	CellLine
HG-261	CCL-122		atcc	CellLine
HGF-1	CRL-2014		atcc	CellLine
HH	CRL-2105		atcc	CellLine
HIEC-6	CRL-3266		atcc	CellLine
HK-2	CRL-2190		atcc	CellLine
HL-60	CCL-240		atcc	CellLine
HL-60/MX1	CRL-2258		atcc	CellLine
HL-60/MX2	CRL-2257		atcc	CellLine
HL-60/S4	CRL-3306		atcc	CellLine
HLF-a	CCL-199		atcc	CellLine
HM2	HB-8587		atcc	CellLine
HMC3 Clone 3	CRL-3304		atcc	CellLine
HMCB	CRL-9607		atcc	CellLine
HMEC-1	CRL-3243		atcc	CellLine
HMy2.CIR	CRL-1993		atcc	CellLine
HOS	CRL-1543		atcc	CellLine
HP	CRL-12012		atcc	CellLine
HPAC	CRL-2119		atcc	CellLine
HPAF-II	CRL-1997		atcc	CellLine
HRT-18G	CRL-11663		atcc	CellLine
Hs 1.Int	CRL-7820		atcc	CellLine
Hs 1.Lu	CRL-7000		atcc	CellLine
Hs 1.Sk/Mu	CRL-7001		atcc	CellLine
Hs 1.Tes	CRL-7002		atcc	CellLine
Hs 127.T	CRL-7081		atcc	CellLine
Hs 132.T	CRL-7085		atcc	CellLine
Hs 14.T	CRL-7823		atcc	CellLine
Hs 142.Sp	CRL-7090		atcc	CellLine
Hs 143.We	CRL-7092		atcc	CellLine
CRL-7093	CRL-7093		atcc	CellLine
Hs 181.Tes	CRL-7131		atcc	CellLine
Hs 184.T	CRL-7134		atcc	CellLine
Hs 190.T	CRL-7145		atcc	CellLine
Hs 198.Ton	CRL-7156		atcc	CellLine
Hs 202.Th	CRL-7163		atcc	CellLine
Hs 209.Sp	CRL-7171		atcc	CellLine
Hs 225.Th	CRL-7191		atcc	CellLine
Hs 228.T	CRL-7193		atcc	CellLine
Hs 232.Th	CRL-7197		atcc	CellLine
Hs 235.Sk	CRL-7201		atcc	CellLine
Hs 255.T	CRL-7213		atcc	CellLine
Hs 257.T	CRL-7214		atcc	CellLine
Hs 281.T	CRL-7227		atcc	CellLine
Hs 294T	HTB-140		atcc	CellLine
Hs 295.Sk	CRL-7232		atcc	CellLine
Hs 3.T	CRL-7005		atcc	CellLine
Hs 313.T	CRL-7235		atcc	CellLine
Hs 319.T	CRL-7236		atcc	CellLine
Hs 324.T	CRL-7239		atcc	CellLine
Hs 343.T	CRL-7245		atcc	CellLine
Hs 344.T	CRL-7246		atcc	CellLine
Hs 350.T	CRL-7248		atcc	CellLine
Hs 357.T	CRL-7252		atcc	CellLine
Hs 362.T	CRL-7253		atcc	CellLine
Hs 38.T	CRL-7826		atcc	CellLine
Hs 387.T	CRL-7263		atcc	CellLine
Hs 39.T	CRL-7023		atcc	CellLine
Hs 414.T	CRL-7287		atcc	CellLine
Hs 445	HTB-146		atcc	CellLine
Hs 454.T	CRL-7802		atcc	CellLine
Hs 456.Bt	CRL-7805		atcc	CellLine
Hs 456.Sk	CRL-7804		atcc	CellLine
Hs 46.Fs	CRL-7026		atcc	CellLine
Hs 5.T	CRL-7822		atcc	CellLine
Hs 505.T	CRL-7306		atcc	CellLine
Hs 52.Sk	CRL-7031		atcc	CellLine
Hs 53.T	CRL-7033		atcc	CellLine
Hs 564(E).Mg	CRL-7329		atcc	CellLine
Hs 566(B).T	CRL-7336		atcc	CellLine
Hs 57.T	CRL-7037		atcc	CellLine
Hs 573.Lu	CRL-7344		atcc	CellLine
Hs 573.T	CRL-7343		atcc	CellLine
CRL-7345	CRL-7345		atcc	CellLine
Hs 578Bst	HTB-125		atcc	CellLine
Hs 578T	HTB-126		atcc	CellLine
Hs 579.Mg	CRL-7347_FL		atcc	CellLine
Hs 588.T	CRL-7850		atcc	CellLine
Hs 590.We	CRL-7353		atcc	CellLine
Hs 600.T	CRL-7360		atcc	CellLine
Hs 604.T	CRL-7362		atcc	CellLine
Hs 605.Sk	CRL-7364		atcc	CellLine
Hs 605.T	CRL-7365		atcc	CellLine
Hs 606.T	CRL-7368		atcc	CellLine
Hs 611.T	CRL-7373		atcc	CellLine
Hs 616.T	CRL-7378		atcc	CellLine
Hs 617.Mg	CRL-7379_FL		atcc	CellLine
Hs 618.T	CRL-7380_FL		atcc	CellLine
Hs 63.T	CRL-7043		atcc	CellLine
Hs 67	HTB-163		atcc	CellLine
Hs 675.T	CRL-7400		atcc	CellLine
Hs 677.Tg	CRL-7408		atcc	CellLine
Hs 680.Rec	CRL-7418		atcc	CellLine
Hs 680.Tg	CRL-7421		atcc	CellLine
Hs 680.Tr	CRL-7422		atcc	CellLine
Hs 683	HTB-138		atcc	CellLine
Hs 688(A).T	CRL-7425		atcc	CellLine
Hs 688(B).T	CRL-7426		atcc	CellLine
Hs 695T	HTB-137		atcc	CellLine
Hs 698.T	CRL-7435		atcc	CellLine
Hs 700T	HTB-147		atcc	CellLine
Hs 704.Sk	CRL-7443		atcc	CellLine
Hs 704.T	CRL-7444		atcc	CellLine
Hs 706.T	CRL-7447		atcc	CellLine
Hs 707(A).T	CRL-7448		atcc	CellLine
Hs 707(B).Ep	CRL-7449		atcc	CellLine
Hs 726.Pl	CRL-7460		atcc	CellLine
Hs 729	HTB-153		atcc	CellLine
Hs 730.Pl	CRL-7464		atcc	CellLine
Hs 733.Sk	CRL-7469		atcc	CellLine
Hs 737.T	CRL-7473		atcc	CellLine
Hs 738.St/Int	CRL-7869		atcc	CellLine
Hs 740.Sk	CRL-7478		atcc	CellLine
Hs 741.T	CRL-7480		atcc	CellLine
Hs 742.Sk	CRL-7481		atcc	CellLine
Hs 742.T	CRL-7482		atcc	CellLine
Hs 746T	HTB-135		atcc	CellLine
Hs 748.T	CRL-7486		atcc	CellLine
Hs 755(B).T	CRL-7489_FL		atcc	CellLine
Hs 766T	HTB-134		atcc	CellLine
Hs 777.T	CRL-7507		atcc	CellLine
Hs 781.T	CRL-7511		atcc	CellLine
Hs 789.Sk	CRL-7518		atcc	CellLine
Hs 789.T	CRL-7886		atcc	CellLine
