carboxypeptidase E proteolytic cleavage product	PR:000019460	carboxypeptidase E proteolytic cleavage product
carboxypeptidase Q proteolytic cleavage product	PR:000020945	carboxypeptidase Q proteolytic cleavage product
cocaine- and amphetamine-regulated transcript protein proteolytic cleavage product	PR:000019241	CARTPT/ClvPrd
casein derived peptide	PR:000028527	casein derived peptide
caspase-10 proteolytic cleavage product	PR:000018759	CASP10/ClvPrd
caspase-14 proteolytic cleavage product	PR:000019242	CASP14/ClvPrd
caspase-1 proteolytic cleavage product	PR:000018758	CASP1/ClvPrd
caspase-1 isoform 1 cleaved 1	PR:000002449	CASP1/iso:1/Clv:1
caspase-1 isoform 1 cleaved 2	PR:000002450	CASP1/iso:1/Clv:2
caspase-2 proteolytic cleavage product	PR:000018761	CASP2/ClvPrd
caspase-3 proteolytic cleavage product	PR:000018762	CASP3/ClvPrd
caspase-3 isoform 1 cleaved 1	PR:000002454	CASP3/iso:1/Clv:1
caspase-3 isoform 1 cleaved 2	PR:000002455	CASP3/iso:1/Clv:2
caspase-4 proteolytic cleavage product	PR:000018763	CASP4/ClvPrd
caspase-5 proteolytic cleavage product	PR:000018764	CASP5/ClvPrd
caspase-6 proteolytic cleavage product	PR:000018765	CASP6/ClvPrd
caspase-7 proteolytic cleavage product	PR:000018767	CASP7/ClvPrd
caspase-8 proteolytic cleavage product	PR:000018768	CASP8/ClvPrd
caspase-8 isoform 1 cleaved 1	PR:000036062	CASP8/iso:1/Clv:1
caspase-8 isoform 1 cleaved 2	PR:000036064	CASP8/iso:1/Clv:2
caspase-9 proteolytic cleavage product	PR:000018769	CASP9/ClvPrd
caspase-10 proteolytic cleavage product	PR:000018759	caspase-10 proteolytic cleavage product
caspase-14 proteolytic cleavage product	PR:000019242	caspase-14 proteolytic cleavage product
caspase-1 isoform 1 cleaved 1	PR:000002449	caspase-1 isoform 1 cleaved 1
caspase-1 isoform 1 cleaved 2	PR:000002450	caspase-1 isoform 1 cleaved 2
caspase-1 proteolytic cleavage product	PR:000018758	caspase-1 proteolytic cleavage product
caspase-1 isoform 1 cleaved 2	PR:000002450	caspase-1 subunit p10
caspase-1 isoform 1 cleaved 1	PR:000002449	caspase-1 subunit p20
caspase-2 proteolytic cleavage product	PR:000018761	caspase-2 proteolytic cleavage product
caspase-3 isoform 1 cleaved 1	PR:000002454	caspase-3 isoform 1 cleaved 1
caspase-3 isoform 1 cleaved 2	PR:000002455	caspase-3 isoform 1 cleaved 2
caspase-3 proteolytic cleavage product	PR:000018762	caspase-3 proteolytic cleavage product
caspase-3 isoform 1 cleaved 1	PR:000002454	caspase-3 subunit p12
caspase-3 isoform 1 cleaved 2	PR:000002455	caspase-3 subunit p17
caspase-4 proteolytic cleavage product	PR:000018763	caspase-4 proteolytic cleavage product
caspase-5 proteolytic cleavage product	PR:000018764	caspase-5 proteolytic cleavage product
caspase-6 proteolytic cleavage product	PR:000018765	caspase-6 proteolytic cleavage product
caspase-7 proteolytic cleavage product	PR:000018767	caspase-7 proteolytic cleavage product
caspase-8 isoform 1 cleaved 1	PR:000036062	caspase-8 isoform 1 cleaved 1
caspase-8 isoform 1 cleaved 2	PR:000036064	caspase-8 isoform 1 cleaved 2
caspase-8 proteolytic cleavage product	PR:000018768	caspase-8 proteolytic cleavage product
caspase-8 isoform 1 cleaved 2	PR:000036064	caspase-8 subunit p10
caspase-8 isoform 1 cleaved 1	PR:000036062	caspase-8 subunit p18
caspase-9 proteolytic cleavage product	PR:000018769	caspase-9 proteolytic cleavage product
catenin beta-1 isoform 1 unmodified form	PR:000002862	catenin beta-1 isoform 1 unmodified form
cathepsin B proteolytic cleavage product	PR:000019555	cathepsin B proteolytic cleavage product
cathepsin D proteolytic cleavage product	PR:000019561	cathepsin D proteolytic cleavage product
cathepsin E proteolytic cleavage product	PR:000019564	cathepsin E proteolytic cleavage product
cathepsin F proteolytic cleavage product	PR:000019565	cathepsin F proteolytic cleavage product
cathepsin G proteolytic cleavage product	PR:000019568	cathepsin G proteolytic cleavage product
cathepsin H proteolytic cleavage product	PR:000019571	cathepsin H proteolytic cleavage product
cathepsin J proteolytic cleavage product	PR:000019639	cathepsin J proteolytic cleavage product
cathepsin K proteolytic cleavage product	PR:000018547	cathepsin K proteolytic cleavage product
cathepsin L1 proteolytic cleavage product	PR:000019574	cathepsin L1 proteolytic cleavage product
cathepsin L2 proteolytic cleavage product	PR:000019575	cathepsin L2 proteolytic cleavage product
cathepsin M proteolytic cleavage product	PR:000019640	cathepsin M proteolytic cleavage product
cathepsin O proteolytic cleavage product	PR:000019576	cathepsin O proteolytic cleavage product
cathepsin S proteolytic cleavage product	PR:000019577	cathepsin S proteolytic cleavage product
